round,ticker,daily,m1,m5,m15,error
0,MBSS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ISSP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,LIVE.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BWPT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,JIHD.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MMLP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SGRO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,APLN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MLBI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ARNA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ASLC.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MLIA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,CAMP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ADES.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CMNP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,IMJS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HOKI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,NICE.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SURI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,LEAD.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ROTI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CFIN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,MDIY.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BSBK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,FAST.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BEST.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,KAEF.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,GOLF.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TBIG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AISA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,UNTD.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PTMP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,PAMG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BOLT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ASGR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AREA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,INDO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,MLPT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CNKO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,WTON.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BLES.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AYLS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,CGAS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DRMA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BOAT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,YUPI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,OKAS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,BYAN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BBHI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SUNI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BOGA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PBSA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,PNIN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,IMAS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,IRRA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,JAWA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BELI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,SMKM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DIVA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AIMS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,RISE.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MAHA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,GPSO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MPOW.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,KARW.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,VAST.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SOCI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,APEX.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,UVCR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,JRPT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,RAAM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BGTG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,KOKA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MAYA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PBID.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,OPMS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MSKY.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,SMDM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,EURO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,RMKE.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DNAR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HALO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,NASI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
