ticker,status,file,rows_before,rows_after,min_dt,max_dt,na_total,expected_per_day,last_day_coverage_pct,has_last_day
BRMS.JK,OK,emiten/cache_1m/BRMS.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6126,411,77.62,True
BRNA.JK,OK,emiten/cache_1m/BRNA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,11976,411,46.23,True
BRPT.JK,OK,emiten/cache_1m/BRPT.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6120,411,77.62,True
BRRC.JK,OK,emiten/cache_1m/BRRC.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,7062,411,69.59,True
BSBK.JK,OK,emiten/cache_1m/BSBK.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,9414,411,40.39,True
BSDE.JK,OK,emiten/cache_1m/BSDE.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,7110,411,72.02,True
BSIM.JK,OK,emiten/cache_1m/BSIM.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16152,411,11.92,True
BSML.JK,OK,emiten/cache_1m/BSML.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12690,411,43.55,True
BSSR.JK,OK,emiten/cache_1m/BSSR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,11742,411,37.47,True
BSWD.JK,OK,emiten/cache_1m/BSWD.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,17262,411,0.0,False
BTON.JK,OK,emiten/cache_1m/BTON.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,17076,411,1.46,True
BTPN.JK,OK,emiten/cache_1m/BTPN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16494,411,1.95,True
BTPS.JK,OK,emiten/cache_1m/BTPS.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6642,411,68.86,True
BUAH.JK,OK,emiten/cache_1m/BUAH.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,14658,411,14.6,True
BUDI.JK,OK,emiten/cache_1m/BUDI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16698,411,3.89,True
